Designator,Mid X,Mid Y,Rotation,Layer
R2,61.925,-38.0238,90,bottom
R20,61.452,-47.4978,270,bottom
R21,62.502,-47.4978,90,bottom
R22,50.552,-47.220815,270,bottom
R23,49.052,-47.220815,270,bottom
R24,34.671,-43.4848,180,bottom
R25,38.912,-61.3478,180,bottom
R3,46.228,-72.8218,90,bottom
R30,54.102,-73.0758,270,bottom
R4,47.371,-72.8218,90,bottom
R5,34.652,-75.6978,270,bottom
R6,33.909,-55.6768,270,top
R7,48.202,-36.3478,0,top
R8,46.202,-49.4978,270,bottom
R9,52.902,-36.3478,180,top
SW1,48.942088,-96.471993,290,top
SW2,209.081,-81.7968,90,bottom
SW3,209.081,-73.9968,90,bottom
SW_K_1,73.152,-50.66025,0,bottom
SW_K_10,111.252,-67.329,0,bottom
SW_K_11,130.302,-64.94775,0,bottom
SW_K_12,149.352,-67.329,0,bottom
SW_K_13,168.402,-69.71025,0,bottom
SW_K_14,192.2145,-69.71025,0,bottom
SW_K_15,73.152,-88.76025,0,bottom
SW_K_16,92.202,-88.76025,0,bottom
SW_K_17,111.252,-86.379,0,bottom
SW_K_18,130.302,-83.99775,0,bottom
SW_K_19,149.352,-86.379,0,bottom
SW_K_2,92.202,-50.66025,0,bottom
SW_K_20,168.402,-88.76025,0,bottom
SW_K_21,192.2145,-88.76025,0,bottom
SW_K_22,71.895184,-113.466632,13.5,bottom
SW_K_23,92.202,-107.81025,0,bottom
SW_K_24,111.252,-105.429,0,bottom
SW_K_25,130.302,-103.04775,0,bottom
SW_K_26,149.352,-105.429,0,bottom
SW_K_27,168.402,-107.81025,0,bottom
SW_K_28,192.2145,-107.81025,0,bottom
SW_K_29,48.485453,-120.471643,20,bottom
SW_K_3,111.252,-48.279,0,bottom
SW_K_30,56.595415,-141.127971,20,bottom
SW_K_31,77.566386,-135.178546,13.5,bottom
SW_K_32,100.011763,-131.698701,5,bottom
SW_K_33,130.302,-122.09775,0,bottom
SW_K_34,149.352,-124.479,0,bottom
SW_K_35,168.402,-126.86025,0,bottom
SW_K_36,187.452,-126.86025,0,bottom
SW_K_4,130.302,-45.89775,0,bottom
SW_K_5,149.352,-48.279,0,bottom
SW_K_6,168.402,-50.66025,0,bottom
SW_K_7,192.2145,-50.6603,0,bottom
SW_K_8,73.152,-69.71025,0,bottom
SW_K_9,92.202,-69.71025,0,bottom
U1,39.878,-43.0978,0,top
U10,51.052,-53.920815,0,bottom
U11,50.339,-42.0878,0,bottom
U12,98.679,-36.5528,180,bottom
U13,85.852,-36.5528,180,bottom
U14,79.629,-36.5528,180,bottom
U15,66.675,-36.5528,180,bottom
U16,104.902,-33.6318,180,bottom
U17,101.6,-33.6318,180,bottom
U18,138.938,-32.6158,180,bottom
U19,119.761,-38.5848,0,bottom
U2,39.878,-54.0258,0,top
U20,155.829,-34.1398,180,bottom
U21,143.002,-34.1398,180,bottom
U22,174.752,-36.1718,180,bottom
U23,162.052,-36.1718,180,bottom
U24,182.626,-36.5528,180,bottom
U25,185.928,-36.5528,180,bottom
U26,39.5,-86.2,270,bottom
U3,36.576,-63.2968,270,top
U4,179.4082,-54.669485,180,bottom
U5,179.4582,-70.920115,180,bottom
U6,179.402,-91.6698,180,bottom
U7,131.202315,-134.9136,270,bottom
U8,119.9002,-134.869863,270,bottom
U9,57.302,-46.7478,45,bottom
USB1,50.302,-31.0673,180,bottom
USB2,28.3495,-86.1568,90,bottom
Y1,53.502,-63.2978,180,bottom
